#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WP_136717420.1@GCF_005049285.1 -            308 Abhydrolase_6        PF12697.12   217   1.6e-07   27.2   1.2   1   1   5.1e-10   2.6e-07   26.5   1.2     1   145    98   259    98   299 0.54 -
A0A9D7DSH0                           -            270 Abhydrolase_8        PF06259.17   178   7.1e-09   30.5   0.8   1   1   8.4e-10   1.6e-08   29.3   0.5    69   133    74   139    55   159 0.80 tr|A0A9D7DSH0|A0A9D7DSH0_UNCGE Alpha/beta hydrolase OS=Gemmatimonadota bacterium OX=2026742 GN=IPG88_18990 PE=4 SV=1
JADKAQ010000016.1_53                 -            501 Abhydrolase_8        PF06259.17   178   1.6e-08   29.3   0.5   1   1   2.5e-09   4.8e-08   27.8   0.4    70   133   306   370   301   390 0.79 -
A0A935SAT3                           -            476 Abhydrolase_8        PF06259.17   178   1.7e-08   29.3   0.5   1   1   2.4e-09   4.7e-08   27.8   0.3    70   133   281   345   277   366 0.78 tr|A0A935SAT3|A0A935SAT3_UNCGE Alpha/beta hydrolase OS=Gemmatimonadota bacterium OX=2026742 GN=IPJ56_08380 PE=4 SV=1
NZ_SOSC01000001.1_299                -            288 Abhydrolase_8        PF06259.17   178   2.3e-07   25.6   0.0   1   1   1.8e-08   3.6e-07   25.0   0.0    17   126    63   176    49   197 0.81 -
NZ_CP095487.1_324                    -            331 Abhydrolase_8        PF06259.17   178   1.3e-06   23.2   0.8   1   1   6.4e-08   1.3e-06   23.2   0.8    57   172   146   259   111   263 0.77 -
A0A3N0A5P4                           -            246 Abhydrolase_8        PF06259.17   178   2.3e-06   22.3   0.0   1   1   2.9e-07   5.7e-06   21.0   0.0    81   141   100   162    30   167 0.79 tr|A0A3N0A5P4|A0A3N0A5P4_9ARCH DUF726 domain-containing protein OS=Nitrosopumilus sp. H8 OX=2478555 GN=EB829_00600 PE=4 SV=1
A0A3M9ZTZ2                           -            246 Abhydrolase_8        PF06259.17   178   2.5e-06   22.2   0.0   1   1   2.8e-07   5.4e-06   21.1   0.0    81   141   100   162    31   169 0.81 -
A0A4U7DEZ2                           -            246 Abhydrolase_8        PF06259.17   178   2.7e-06   22.1   3.5   1   1   2.3e-07   4.4e-06   21.4   3.5    18   133    25   136    16   151 0.84 tr|A0A4U7DEZ2|A0A4U7DEZ2_9EURY DUF726 domain-containing protein OS=Halorubrum sp. SP3 OX=1537265 GN=EXE42_01875 PE=4 SV=1
VXON01000101.1_7                     -            246 Abhydrolase_8        PF06259.17   178   3.4e-06   21.8   0.0   1   1   3.2e-07   6.2e-06   20.9   0.0     9   129    30   145    25   175 0.80 -
A0A256J8C6                           -            244 Abhydrolase_8        PF06259.17   178   3.4e-06   21.8   2.1   1   1   2.5e-07   4.8e-06   21.3   2.1    18   132    25   133    18   182 0.83 tr|A0A256J8C6|A0A256J8C6_HALEZ DUF726 domain-containing protein OS=Halorubrum ezzemoulense OX=337243 GN=DJ79_16430 PE=4 SV=1
A0A6B0YMN0                           -            250 Abhydrolase_8        PF06259.17   178   3.5e-06   21.7   0.0   1   1   3.3e-07   6.4e-06   20.9   0.0     9   129    34   149    29   179 0.80 tr|A0A6B0YMN0|A0A6B0YMN0_9ARCH Alpha/beta hydrolase OS=Cenarchaeum sp. SB0665_bin_23 OX=2604876 GN=F4Y82_03580 PE=4 SV=1
A0A6B1A2I3                           -            250 Abhydrolase_8        PF06259.17   178   3.5e-06   21.7   0.0   1   1   3.3e-07   6.4e-06   20.9   0.0     9   129    34   149    29   179 0.80 tr|A0A6B1A2I3|A0A6B1A2I3_9ARCH Alpha/beta hydrolase OS=Cenarchaeum sp. SB0666_bin_15 OX=2604877 GN=F4Z11_01115 PE=4 SV=1
A0A6B1D0G6                           -            250 Abhydrolase_8        PF06259.17   178   3.5e-06   21.7   0.0   1   1   3.3e-07   6.4e-06   20.9   0.0     9   129    34   149    29   179 0.80 tr|A0A6B1D0G6|A0A6B1D0G6_9ARCH Alpha/beta hydrolase OS=Cenarchaeum sp. SB0661_bin_35 OX=2604872 GN=F4W68_07450 PE=4 SV=1
A0A6G2J725                           -            250 Abhydrolase_8        PF06259.17   178   3.5e-06   21.7   0.0   1   1   3.3e-07   6.4e-06   20.9   0.0     9   129    34   149    29   179 0.80 tr|A0A6G2J725|A0A6G2J725_9ARCH Alpha/beta hydrolase OS=Cenarchaeum sp. SB0667_bin_13 OX=2604878 GN=F4Z46_05215 PE=4 SV=1
A0A6G2K886                           -            250 Abhydrolase_8        PF06259.17   178   3.5e-06   21.7   0.0   1   1   3.3e-07   6.4e-06   20.9   0.0     9   129    34   149    29   179 0.80 tr|A0A6G2K886|A0A6G2K886_9ARCH Alpha/beta hydrolase OS=Cenarchaeum sp. SB0662_bin_33 OX=2604873 GN=F4X71_04020 PE=4 SV=1
A0A6G2KCY1                           -            250 Abhydrolase_8        PF06259.17   178   3.5e-06   21.7   0.0   1   1   3.3e-07   6.4e-06   20.9   0.0     9   129    34   149    29   179 0.80 tr|A0A6G2KCY1|A0A6G2KCY1_9ARCH Alpha/beta hydrolase OS=Cenarchaeum sp. SB0678_bin_8 OX=2604884 GN=F4245_02340 PE=4 SV=1
A0A6G2KEU7                           -            250 Abhydrolase_8        PF06259.17   178   3.5e-06   21.7   0.0   1   1   3.3e-07   6.4e-06   20.9   0.0     9   129    34   149    29   179 0.80 tr|A0A6G2KEU7|A0A6G2KEU7_9ARCH Alpha/beta hydrolase OS=Cenarchaeum sp. SB0677_bin_16 OX=2604883 GN=F4202_01385 PE=4 SV=1
A0A6G2KTU3                           -            250 Abhydrolase_8        PF06259.17   178   3.5e-06   21.7   0.0   1   1   3.3e-07   6.4e-06   20.9   0.0     9   129    34   149    29   179 0.80 tr|A0A6G2KTU3|A0A6G2KTU3_9ARCH Alpha/beta hydrolase OS=Cenarchaeum sp. SB0673_bin_9 OX=2604881 GN=F4116_01145 PE=4 SV=1
JAHRAL010000125.1_29@GCA_020027325.1 -            254 Abhydrolase_8        PF06259.17   178   3.7e-06   21.7   0.1   1   1   3.2e-07   6.2e-06   20.9   0.1    87   133   108   153    52   183 0.81 -
